,,Raw Table
19:29.9,438,2478
19:29.9,439,2476
19:29.9,40,2463
19:29.9,448,2472
19:29.9,449,2471
19:30.9,450,2471
19:31.9,451,2475
19:33.0,452,2471
19:34.0,453,2474
19:35.1,454,2474
19:36.1,455,2456
19:37.1,456,2471
19:38.2,457,2471
19:39.2,458,2471
19:40.2,459,2473
19:41.3,460,2464
19:42.3,461,2471
19:43.3,462,2463
19:44.4,463,2468
19:45.4,464,2471
19:46.4,465,2471
19:47.5,466,2463
19:48.5,467,2471
19:49.6,468,2475
19:50.6,469,2475
19:51.6,470,2459
19:52.7,471,2462
19:53.7,472,2464
19:54.7,473,2456
19:55.8,474,2446
19:56.8,475,2473
19:57.9,476,2476
19:58.9,477,2464
19:59.9,478,2443
20:01.0,479,2473
20:02.0,480,2463
20:03.0,481,2460
20:04.1,482,2473
20:05.1,483,2433
20:06.1,484,2462
20:07.2,485,2463
20:08.2,486,2472
20:09.3,487,2475
20:10.3,488,2471
20:11.3,489,2471
20:12.4,490,2448
20:13.4,491,2464
20:14.4,492,2476
20:15.5,493,2462
20:16.5,494,2471
20:17.6,495,2448
20:18.6,496,2469
20:19.6,497,2471
20:20.7,498,2470
20:21.7,499,2464
20:22.7,500,2461
20:23.8,501,2471
20:24.8,502,2470
20:25.8,503,2471
20:26.9,504,2475
20:27.9,505,2472
20:28.9,506,2468
20:30.0,507,2448
20:31.0,508,2470
20:32.1,509,2470
20:33.1,510,2473
20:34.1,511,2468
20:35.2,512,2468
20:36.2,513,2471
20:37.2,514,2478
20:38.3,515,2463
20:39.3,516,2470
20:40.4,517,2468
20:41.4,518,2463
20:42.4,519,2472
20:43.5,520,2471
20:44.5,521,2475
20:47.3,522,2477
20:47.3,523,2423
20:47.6,524,2479
20:48.6,525,2475
20:49.7,526,2463
20:50.7,527,2468
20:51.7,528,2470
20:52.8,529,2468
20:53.8,530,2460
20:54.9,531,2475
20:55.9,532,2470
20:56.9,533,2473
20:58.0,534,2474
20:59.0,535,2470
21:00.0,536,2461
21:01.1,537,2474
21:02.1,538,2459
21:03.2,539,2477
21:04.2,540,2471
21:05.2,541,2470
21:06.3,542,2475
21:07.3,543,2469
21:08.3,544,2462
